193,25.1,28.7,52.2,65.1,45.9,983
195,25.2,28.9,52.7,64.7,46.2,954.1
196,25.4,29.1,53.2,64.2,46.4,957.5
198,25.5,29.3,53.5,63.8,46.6,962.9
200,25.6,29.5,53.8,63.5,46.8,958.1
202,25.6,29.6,54.1,63.1,47,977.1
203,25.7,29.8,54.6,62.8,47.2,968.5
205,25.8,30,55,62.5,47.4,977.7
207,25.9,30.1,55.4,62.3,47.6,979.6
208,26,30.3,55.8,62,47.8,981.1
210,26.1,30.5,56.2,61.7,48,33.9
212,26.2,30.7,56.6,61.5,48.2,0
214,26.4,30.9,57.1,61.2,48.4,-0.9
216,26.5,31.1,57.5,60.9,48.6,0
218,26.6,31.3,58,60.7,48.8,-1
219,26.8,31.5,58.4,60.4,49,-0.8
221,26.9,31.7,58.7,60.1,49.3,-2.9
223,27.1,31.9,59.2,59.9,49.5,961.2
225,27.2,32.1,59.6,59.7,49.6,979.8
227,27.4,32.3,60,59.4,49.8,989.1
228,27.5,32.5,60.4,59.2,50,975.3
230,27.6,32.6,60.8,59.1,50.2,989
232,27.7,32.8,61.2,58.9,50.4,980.4
233,27.9,33,61.7,58.9,50.6,982
235,28,33.2,62.1,58.8,50.8,956
237,28.2,33.4,62.5,58.8,51,985.5
238,28.3,33.6,62.9,58.9,51.2,988.2
240,28.4,33.7,63.3,58.8,51.4,979.7
242,28.5,33.9,63.7,58.8,51.6,979.1
244,28.7,34,64,58.7,51.8,987.1
245,28.8,34.2,64.4,58.8,51.9,32.1
247,28.9,34.4,64.8,58.8,52.1,-0.4
249,29,34.7,65.2,58.8,52.3,-1
251,29.1,34.9,65.5,58.8,52.5,-7.4
253,29.3,35,65.9,58.9,52.7,0.8
255,29.5,35.2,66.2,58.8,52.9,-0.9
256,29.6,35.4,66.5,58.7,53,-5
258,29.8,35.6,66.9,58.6,53.2,977.8
260,29.9,35.8,67.2,58.6,53.4,980.4
262,30,36,67.5,58.6,53.5,957.6
263,30.1,36.1,67.7,58.6,53.7,979.5
265,30.2,36.3,67.9,58.6,53.8,987
267,30.4,36.5,68.2,58.6,54,978.5
268,30.5,36.6,68.6,58.7,54.1,974.8
270,30.7,36.8,69,58.7,54.2,977.1
272,30.8,37,69.2,58.8,54.3,976.9
274,30.9,37.2,69.5,58.9,54.5,981.7
275,31.1,37.3,69.7,59,54.7,986
277,31.2,37.5,70,59.1,54.8,958.9
279,31.3,37.6,70.4,59.2,54.9,-6.5
281,31.4,37.8,70.7,59.3,55.1,0.9
282,31.6,38,71,59.4,55.2,0.7
284,31.7,38.2,71.3,59.6,55.4,0
286,31.9,38.4,71.5,59.7,55.5,-2.6
288,32,38.6,71.8,59.8,55.6,-1.3
290,32.1,38.8,71.9,59.9,55.8,0.1
292,32.3,39,72.2,59.9,55.9,1001.8
293,32.4,39.1,72.4,59.9,56.1,989.1
295,32.5,39.2,72.6,60,56.2,962.1
297,32.7,39.4,72.8,60.1,56.3,984.9
299,32.9,39.6,72.9,60.1,56.4,978.4
300,33,39.8,73.2,60.2,56.5,983.4
302,33.1,39.9,73.4,60.4,56.6,979.3
304,33.3,40.1,73.7,60.4,56.8,968.5
